TimePeriod,GeoType,GeoID,GeoRank,Geography,Nitric Oxide Mean ppb,PM2.5 Mean mcg/m3,Black Carbon Mean absorbance units,Nitrogen Dioxide Mean ppb
Summer 2021,UHF42,101,4,Kingsbridge - Riverdale,4.9,8.7,0.7,10.8
Summer 2021,UHF42,102,4,Northeast Bronx,5.6,8.5,0.7,12.4
Summer 2021,UHF42,103,4,Fordham - Bronx Pk,5.6,8.7,0.7,12.1
Summer 2021,UHF42,104,4,Pelham - Throgs Neck,6.4,8.5,0.7,12.3
Summer 2021,UHF42,105,4,Crotona -Tremont,8.2,8.7,0.8,13.8
Summer 2021,UHF42,106,4,High Bridge - Morrisania,7.5,8.6,0.8,14.2
Summer 2021,UHF42,107,4,Hunts Point - Mott Haven,9.6,9,0.8,15.1
Summer 2021,UHF42,201,4,Greenpoint,13.6,9.6,1,17.2
Summer 2021,UHF42,202,4,Downtown - Heights - Slope,8.7,9.1,0.8,14.6
Summer 2021,UHF42,203,4,Bedford Stuyvesant - Crown Heights,6.6,8.5,0.7,11.9
Summer 2021,UHF42,204,4,East New York,6.8,8.3,0.6,10.8
Summer 2021,UHF42,205,4,Sunset Park,9.2,9,0.8,13.7
Summer 2021,UHF42,206,4,Borough Park,5.9,8.3,0.6,11.4
Summer 2021,UHF42,207,4,East Flatbush - Flatbush,6,8.3,0.6,10.7
Summer 2021,UHF42,208,4,Canarsie - Flatlands,5.4,8,0.5,8.2
Summer 2021,UHF42,209,4,Bensonhurst - Bay Ridge,6,8.3,0.6,10.8
Summer 2021,UHF42,210,4,Coney Island - Sheepshead Bay,5.2,8,0.5,8.5
Summer 2021,UHF42,211,4,Williamsburg - Bushwick,10.2,9.2,0.8,14.7
Summer 2021,UHF42,301,4,Washington Heights,8.8,8.8,0.8,13.2
Summer 2021,UHF42,302,4,Central Harlem - Morningside Heights,7,8.8,0.7,14.4
Summer 2021,UHF42,303,4,East Harlem,7.9,8.7,0.8,14.5
Summer 2021,UHF42,304,4,Upper West Side,7,8.7,0.8,15.7
Summer 2021,UHF42,305,4,Upper East Side,8,8.9,0.8,16.7
Summer 2021,UHF42,306,4,Chelsea - Clinton,9.3,10.4,1,20.2
Summer 2021,UHF42,307,4,Gramercy Park - Murray Hill,9.1,10.1,0.9,20.2
Summer 2021,UHF42,308,4,Greenwich Village - SoHo,8.7,10.2,1,17.9
Summer 2021,UHF42,309,4,Union Square - Lower East Side,7.5,9.8,0.9,15.7
Summer 2021,UHF42,310,4,Lower Manhattan,7.4,9.6,0.9,17.8
Summer 2021,UHF42,401,4,Long Island City - Astoria,9.6,9.1,0.8,15.5
Summer 2021,UHF42,402,4,West Queens,11.5,9,0.8,14.7
Summer 2021,UHF42,403,4,Flushing - Clearview,5.3,8.2,0.6,11.7
Summer 2021,UHF42,404,4,Bayside - Little Neck,4.8,7.9,0.6,10
Summer 2021,UHF42,405,4,Ridgewood - Forest Hills,6.4,8.3,0.6,11.3
Summer 2021,UHF42,406,4,Fresh Meadows,5.4,7.9,0.6,10.5
Summer 2021,UHF42,407,4,Southwest Queens,5.4,7.9,0.5,9.8
Summer 2021,UHF42,408,4,Jamaica,6.4,8,0.6,10.8
Summer 2021,UHF42,409,4,Southeast Queens,5.5,7.7,0.5,9.9
Summer 2021,UHF42,410,4,Rockaways,3.4,7.2,0.3,4.9
Summer 2021,UHF42,501,4,Port Richmond,5.4,8.3,0.6,11.8
Summer 2021,UHF42,502,4,Stapleton - St. George,4.7,8.1,0.6,9.6
Summer 2021,UHF42,503,4,Willowbrook,4.5,8,0.5,8.6
Summer 2021,UHF42,504,4,South Beach - Tottenville,4,7.6,0.4,5.4
Winter 2020-21,UHF42,101,4,Kingsbridge - Riverdale,12.3,6.4,0.6,18
Winter 2020-21,UHF42,102,4,Northeast Bronx,14.6,6.3,0.6,19.2
Winter 2020-21,UHF42,103,4,Fordham - Bronx Pk,14.2,6.4,0.6,19.3
Winter 2020-21,UHF42,104,4,Pelham - Throgs Neck,15.9,6.6,0.6,19.6
Winter 2020-21,UHF42,105,4,Crotona -Tremont,18.6,6.8,0.7,20.9
Winter 2020-21,UHF42,106,4,High Bridge - Morrisania,17.7,6.6,0.7,21.5
Winter 2020-21,UHF42,107,4,Hunts Point - Mott Haven,20.5,7.1,0.7,21.9
Winter 2020-21,UHF42,201,4,Greenpoint,26.9,8,0.9,24.8
Winter 2020-21,UHF42,202,4,Downtown - Heights - Slope,21.6,7.3,0.7,23.9
Winter 2020-21,UHF42,203,4,Bedford Stuyvesant - Crown Heights,18.6,6.8,0.6,23.1
Winter 2020-21,UHF42,204,4,East New York,18.3,6.8,0.6,22.2
