TimePeriod,GeoType,GeoID,GeoRank,Geography,Deaths due to PM2.5 Estimated annual number (age 30+),"Deaths due to PM2.5 Estimated annual rate (age 30+) per 100,000 adults",Asthma emergency department visits due to PM2.5 Estimated annual number (age 18+),Asthma emergency department visits due to PM2.5 Estimated annual number (under age 18),"Asthma emergency department visits due to PM2.5 Estimated annual rate (age 18+) per 100,000 adults","Asthma emergency department visits due to PM2.5 Estimated annual rate (under age 18) per 100,000 children",Cardiovascular hospitalizations due to PM2.5 (age 40+) Estimated annual number,"Cardiovascular hospitalizations due to PM2.5 (age 40+) Estimated annual rate per 100,000 adults",Respiratory hospitalizations due to PM2.5 (age 20+) Estimated annual number,"Respiratory hospitalizations due to PM2.5 (age 20+) Estimated annual rate per 100,000 adults"
2017-2019,UHF42,101,4,Kingsbridge - Riverdale,32,50,13,9,16,48,5,10,7,9
2017-2019,UHF42,102,4,Northeast Bronx,52,39,61,37,36,81,11,10,16,10
2017-2019,UHF42,103,4,Fordham - Bronx Pk,52,35,101,79,49,112,13,12,23,11
2017-2019,UHF42,104,4,Pelham - Throgs Neck,69,37,83,58,34,80,16,11,24,10
2017-2019,UHF42,105,4,Crotona -Tremont,40,34,110,74,67,119,11,13,20,13
2017-2019,UHF42,106,4,High Bridge - Morrisania,45,37,129,84,78,138,12,13,23,15
2017-2019,UHF42,107,4,Hunts Point - Mott Haven,30,39,88,60,83,147,8,14,16,15
2017-2019,UHF42,201,4,Greenpoint,20,33,12,5,14,21,3,8,3,4
2017-2019,UHF42,202,4,Downtown - Heights - Slope,42,24,50,22,23,43,9,9,13,6
2017-2019,UHF42,203,4,Bedford Stuyvesant - Crown Heights,76,37,149,79,55,107,19,13,21,8
2017-2019,UHF42,204,4,East New York,38,34,87,50,58,99,11,13,12,9
2017-2019,UHF42,205,4,Sunset Park,19,27,18,10,18,33,4,8,6,6
2017-2019,UHF42,206,4,Borough Park,67,36,23,15,10,14,13,10,14,6
2017-2019,UHF42,207,4,East Flatbush - Flatbush,65,34,90,48,37,75,16,11,15,6
2017-2019,UHF42,208,4,Canarsie - Flatlands,51,37,46,25,27,55,12,11,13,8
2017-2019,UHF42,209,4,Bensonhurst - Bay Ridge,50,36,14,6,8,14,9,9,11,6
2017-2019,UHF42,210,4,Coney Island - Sheepshead Bay,94,47,43,19,18,30,19,12,24,10
2017-2019,UHF42,211,4,Williamsburg - Bushwick,38,32,89,49,51,88,10,12,13,8
2017-2019,UHF42,301,4,Washington Heights,48,28,54,30,23,62,12,10,14,6
2017-2019,UHF42,302,4,Central Harlem - Morningside Heights,43,38,116,50,75,138,9,11,12,8
2017-2019,UHF42,303,4,East Harlem,32,45,85,38,90,160,7,14,9,10
2017-2019,UHF42,304,4,Upper West Side,55,35,36,13,18,40,9,8,9,5
2017-2019,UHF42,305,4,Upper East Side,50,32,11,5,6,16,8,7,9,5
2017-2019,UHF42,306,4,Chelsea - Clinton,31,26,28,7,18,50,6,8,7,4
2017-2019,UHF42,307,4,Gramercy Park - Murray Hill,29,30,16,4,12,35,5,7,6,5
2017-2019,UHF42,308,4,Greenwich Village - SoHo,15,26,4,1,6,14,2,5,2,3
2017-2019,UHF42,309,4,Union Square - Lower East Side,53,42,50,21,29,90,9,10,12,7
2017-2019,UHF42,310,4,Lower Manhattan,9,23,10,3,18,33,2,7,3,4
2017-2019,UHF42,401,4,Long Island City - Astoria,37,27,30,14,16,42,8,9,10,5
2017-2019,UHF42,402,4,West Queens,71,24,46,49,12,51,16,7,20,5
